sample,fastq_1,fastq_2
HG00446,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/HG00446_R1.fastq.gz,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/HG00446_R2.fastq.gz
NA12718,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/NA12718_R1.fastq.gz,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/NA12718_R2.fastq.gz
NA18549,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/NA18549_R1.fastq.gz,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/NA18549_R2.fastq.gz
NA20757,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/NA20757_R1.fastq.gz,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/NA20757_R2.fastq.gz
NA20769,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/NA20769_R1.fastq.gz,https://raw.githubusercontent.com/scorreard/Variant_catalogue_pipeline/main/testdata/NA20769_R2.fastq.gz
